SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),336 6th St,Saddle Brook,NJ,07663,699000,5,3.0,Saddle Brook,,5001,,8,,,Active,,,https://www.redfin.com/NJ/Saddle-Brook/336-6th-St-07663/home/35856687,NJMLS,22014450,N,Y,40.8863986,-74.0958012
MLS Listing,,Townhouse,89 Roosevelt Dr,Wood Ridge,NJ,07075,699000,4,3.5,Wood Ridge,,,,8,,,Active,,,https://www.redfin.com/NJ/Wood-Ridge/89-Roosevelt-Dr-07075/home/109108273,NJMLS,22014448,N,Y,40.8582882,-74.0896442
MLS Listing,,Single Family Residential,290 Greenway Rd,Ridgewood,NJ,07450,2495000,6,4.5,Ridgewood,,26615,,8,,,Active,,,https://www.redfin.com/NJ/Ridgewood/290-Greenway-Rd-07450/home/35841678,NJMLS,22014447,N,Y,40.9701828,-74.1426908
MLS Listing,,Single Family Residential,20 Colgate St,Closter,NJ,07624,1199000,4,2.5,Closter,,14401,,8,,,Active,,,https://www.redfin.com/NJ/Closter/20-Colgate-St-07624/home/35694263,NJMLS,22014440,N,Y,40.9780023,-73.9419063
MLS Listing,,Single Family Residential,27 Lakeview Ave,Rochelle Park,NJ,07662,449000,4,2.0,Rochelle Park,,5001,,8,,,Active,,,https://www.redfin.com/NJ/Rochelle-Park/27-Lakeview-Ave-07662/home/35851503,NJMLS,22014434,N,Y,40.9140534,-74.0789144
MLS Listing,,Single Family Residential,33 John St,Englewood Cliffs,NJ,07632,1180000,4,2.5,Englewood Cliffs,,11700,,8,,,Active,,,https://www.redfin.com/NJ/Englewood-Cliffs/33-John-St-07632/home/35720876,NJMLS,22014433,N,Y,40.879519,-73.9529045
MLS Listing,,Single Family Residential,278 Midwood Rd,Paramus,NJ,07652,2250000,6,7.0,Paramus,,12602,,8,,,Active,,,https://www.redfin.com/NJ/Paramus/278-Midwood-Rd-07652/home/35820459,NJMLS,22014430,N,Y,40.9583681,-74.0924056
MLS Listing,,Townhouse,237 Mountainview Dr,Mahwah,NJ,07430,699000,4,3.0,Mahwah,,,,8,,,Active,,,https://www.redfin.com/NJ/Mahwah/237-Mountainview-Dr-07430/home/35786134,NJMLS,22014427,N,Y,41.080301,-74.167299
MLS Listing,,Single Family Residential,206 Terrace Rd,Franklin Lakes,NJ,07417,1399000,4,3.5,Franklin Lakes,,47916,,8,,,Active,,,https://www.redfin.com/NJ/Franklin-Lakes/206-Terrace-Rd-07417/home/35739857,NJMLS,22014419,N,Y,41.0007999,-74.2175428
MLS Listing,,Single Family Residential,247 Ramapo Valley Rd,Oakland,NJ,07436,519900,4,2.0,Oakland,,15464,,8,,,Active,,,https://www.redfin.com/NJ/Oakland/247-Ramapo-Valley-Rd-07436/home/35808014,NJMLS,22014416,N,Y,41.0192009,-74.2484929
