,prices,address,beds,home_type,borough,zip_code,baths,sqft
37,"$489,000",0-89 Whitehall St,2.0,- sqft- House for sale, Fair Lawn, NJ 07410,2.0,
38,"$775,000",5 Longview Ct,5.0,- sqft- House for sale, Waldwick Boro, NJ 07463-1115,4.0,
39,"$1,099,000",9 Colonial Dr,4.0,- sqft- House for sale, Allendale Boro, NJ 07401-1401,5.0,
40,"$1,590,000",107 Broad Ave,5.0,- sqft- New construction, Leonia, NJ 07605,5.0,
41,"$719,000",113 Macleish Ct,4.0,- sqft- Townhouse for sale, Mahwah Twp., NJ 07430-3175,3.0,
42,"$1,199,000",20 Colgate St,4.0,- sqft- House for sale, Closter, NJ 07624,3.0,
43,"$669,000",391 Burnet Pl,3.0,- sqft- House for sale, Paramus, NJ 07652,2.0,
44,"$299,000",250 Gorge Rd APT 26G,2.0,- sqft- Condo for sale, Cliffside Park, NJ 07010,2.0,
45,"$2,599,000",8 Ermeti Pl,7.0,- sqft- House for sale, Englewood Cliffs, NJ 07632,6.0,
46,"$495,000",830 Charlotte Ter,4.0,- sqft- House for sale, Ridgefield, NJ 07657,2.0,
47,"$675,000",222 Doxey Dr,4.0,- sqft- House for sale, Park Ridge, NJ 07656,3.0,
48,"$880,000",7 Belmont Rd,4.0, House for sale, Glen Rock Boro, NJ 07452-2305,3.0,13791.0
49,"$425,000",98 Beverly Rd,3.0,- sqft- House for sale, Oradell, NJ 07649,2.0,
50,"$1,999,000",844 Stonewall Ct,4.0,- sqft- House for sale, Franklin Lakes Boro, NJ 07417-1927,5.0,
51,"$399,000",165 Valley Rd,3.0,- sqft- House for sale, Haworth, NJ 07641,2.0,
52,"$509,000",251 N Central Ave,3.0,- sqft- House for sale, Ramsey, NJ 07446,2.0,
53,"$608,000",39 North Bayard Ln,3.0,- sqft- Townhouse for sale, Mahwah Twp., NJ 07430-2236,3.0,
54,"$355,000",320 Anderson Ave APT 4C,2.0,- sqft- Condo for sale, Fairview, NJ 07022,2.0,
55,"$1,749,000",229 Prospect St,5.0, House for sale, Ridgewood Village, NJ 07450-4417,5.0,3900.0
56,"$1,495,000",18 Walsh Dr,5.0,- sqft- House for sale, Mahwah, NJ 07430,5.0,
57,"$1,199,000",801 Pony Trl,4.0,- sqft- House for sale, Franklin Lakes, NJ 07417,3.0,
58,"$5,360,000",46 Westerly Rd,8.0,- sqft- House for sale, Saddle River, NJ 07458,14.0,
59,"$580,000",603 Forest Ave,5.0,- sqft- House for sale, Paramus, NJ 07652,3.0,
60,"$419,000",1-34 36th St,3.0,- sqft- House for sale, Fair Lawn, NJ 07410,1.0,
61,"$1,149,000",152 W Clinton Ave,4.0,- sqft- New construction, Tenafly, NJ 07670,3.0,
62,"$549,999",26 Maysenger Rd,2.0,- sqft- House for sale, Mahwah Twp., NJ 07430-1824,1.0,
63,"$499,000",630 Lucy Ave,4.0,- sqft- House for sale, Teaneck, NJ 07666,1.0,
64,"$479,000",42 Linden St,2.0,- sqft- House for sale, Lodi, NJ 07644,2.0,
65,"$140,000",2100 Linwood Ave APT 2R,1.0,- sqft- Condo for sale, Fort Lee, NJ 07024,1.0,
66,"$499,000",400 Crown Ct APT 583,2.0,- sqft- Condo for sale, Edgewater, NJ 07020,2.0,
67,"$445,000",903 Hudson Park,1.0,- sqft- House for sale, Edgewater, NJ 07020,2.0,
68,"$475,000",5 Kearney St,4.0,- sqft- House for sale, Lyndhurst, NJ 07071,2.0,
69,"$449,000",68 W Saddle River Rd,4.0,- sqft- House for sale, Waldwick, NJ 07463,1.0,
70,"$1,365,000",11 Anona Dr,4.0,- sqft- House for sale, Upper Saddle River, NJ 07458,5.0,
71,"$1,199,000",1A Old Wood Rd,2.0,- sqft- House for sale, Edgewater, NJ 07020,2.0,
72,"$499,000",684 Oak Ave,3.0,- sqft- House for sale, Maywood, NJ 07607,2.0,
73,"$249,900",301 Beech St UNIT 2F,1.0,- sqft- Condo for sale, Hackensack City, NJ 07601-2114,1.0,
74,"$1,490,000",34 Woodland Rd,4.0,- sqft- House for sale, Demarest, NJ 07627,5.0,
75,"$225,000",215 Orient Way UNIT B1,1.0, Condo for sale, Rutherford Boro, NJ 07070-2409,1.0,711.0
76,"$1,999,000",74 Twin Brooks Rd,5.0,- sqft- House for sale, Saddle River Boro, NJ 07458-3326,3.0,
77,"$588,000",110 Stratford Rd,4.0,- sqft- House for sale, Dumont, NJ 07628,2.0,
78,"$325,500",61 Arlington Ave,3.0,- sqft- House for sale, Bergenfield Boro, NJ 07621-2752,2.0,
79,"$1,788,000",350 Lewelen Cir,4.0,- sqft- House for sale, Englewood, NJ 07631,3.0,
80,"$735,000",38 Sunset Pl,5.0,- sqft- House for sale, Bergenfield, NJ 07621,4.0,
81,"$638,000",370 Cornell St,4.0,- sqft- House for sale, Wyckoff, NJ 07481,2.0,
82,"$1,195,000",1077 Franklin Lake Rd,5.0, House for sale, Franklin Lakes Boro, NJ 07417-1131,4.0,3641.0
83,"$1,590,000",20 Knickerbocker Rd,5.0,- sqft- House for sale, Tenafly, NJ 07670,5.0,
84,"$2,488,888",18 Powderhorn Rd,6.0,- sqft- House for sale, Ho Ho Kus, NJ 07423,9.0,
85,"$255,000",78 W Hudson Ave,1.0,- sqft- Condo for sale, Englewood, NJ 07631,1.0,
86,"$379,900",24 Grove St,3.0,- sqft- House for sale, Montvale, NJ 07645,2.0,
87,"$165,000",2100 Linwood Ave APT 11L,1.0,- sqft- Condo for sale, Fort Lee, NJ 07024,1.0,
88,"$14,995,000",10 Frick Dr,8.0,- sqft- New construction, Alpine, NJ 07620,14.0,
89,"$1,579,000",60 Rutland Rd,4.0,- sqft- House for sale, Glen Rock, NJ 07452,4.0,
90,"$245,000",229 Ramapo Hills Blvd,1.0, House for sale, Franklin Lakes Boro, NJ 07417-1438,1.0,4356.0
91,"$224,900",2100 Linwood Ave #21J,2.0,- sqft- House for sale, Fort Lee, NJ 07024,2.0,
92,"$579,000",616 Standish Rd,3.0,- sqft- House for sale, Teaneck, NJ 07666,3.0,
93,"$1,799,000",17 Hemlock Hill Rd,5.0,- sqft- House for sale, Upper Saddle River, NJ 07458,5.0,
94,"$849,000",530 Kearney Ave #A,3.0,- sqft- Townhouse for sale, Cliffside Park, NJ 07010,4.0,
95,"$899,000",629 Knollwood Rd,5.0,- sqft- House for sale, Franklin Lakes, NJ 07417,3.0,
96,"$739,000",222 Hillcrest Ave,4.0,- sqft- House for sale, Wood Ridge, NJ 07075,3.0,
97,"$729,000",33 Pulaski Ave,7.0,- sqft- Multi-family home for sale, Wallington, NJ 07057,3.0,
98,"$399,000",597 Maple Ave,2.0,- sqft- House for sale, Teaneck, NJ 07666,2.0,
99,"$1,450,000",6 Stratford Ln,5.0,- sqft- House for sale, Ho Ho Kus, NJ 07423,4.0,
100,"$549,999",406 Lincoln Ave,3.0,- sqft- House for sale, Rutherford, NJ 07070,1.0,
101,"$639,900",710 Hillside Ave,3.0,- sqft- House for sale, Cliffside Park, NJ 07010,2.0,
102,"$1,099,000",14 Hillside Ave,4.0,- sqft- House for sale, Upper Saddle River Boro, NJ 07458-1109,24.0,
103,"$499,000",5 Calvin Ave,4.0,- sqft- House for sale, Lodi Boro, NJ 07644-2009,2.0,
104,"$12,800,000",105 Chestnut Ridge Rd,7.0,- sqft- House for sale, Saddle River, NJ 07458,9.0,
105,"$799,000",329 Maple Ave,4.0,- sqft- Multi-family home for sale, Oradell, NJ 07649,4.0,
106,"$481,000",312 Calvin St,3.0,- sqft- House for sale, Washington Twp., NJ 07676-5023,1.0,
107,"$749,999",168 Godwin Ave,4.0,- sqft- House for sale, Wyckoff, NJ 07481,3.0,
108,"$395,000",7002 Boulevard East 24h,2.0,- sqft- Condo for sale, West New York, NJ 07093,2.0,
109,"$499,000",39 Cedar Dr,3.0,- sqft- House for sale, Rochelle Park, NJ 07662,2.0,
110,"$539,000",583 Ridgeland Ter,4.0,- sqft- House for sale, Englewood, NJ 07631,1.0,
111,"$659,000",341 Herrick Ave,4.0,- sqft- House for sale, Teaneck, NJ 07666,3.0,
112,"$449,000",27 Lakeview Ave,4.0,- sqft- House for sale, Rochelle Park Twp., NJ 07662-3101,2.0,
113,"$499,000",7 Sheridan Pl,3.0,- sqft- Coming soon, Fair Lawn Boro, NJ 07410-4205,2.0,
114,"$1,249,000",37 Edgewood Dr,4.0,- sqft- House for sale, Hohokus Boro, NJ 07423-1527,3.0,
115,"$585,000",393 Hickory St,3.0,- sqft- House for sale, Township Of Washington, NJ 07676,2.0,
116,"$249,000",3011 Edwin Ave APT 3F,1.0,- sqft- New construction, Fort Lee, NJ 07024,1.0,
117,"$699,000",108 Rock Rd,4.0,- sqft- House for sale, Glen Rock Boro, NJ 07452-2052,2.0,
118,"$849,000",24 Lenape Trl,4.0,- sqft- House for sale, Upper Saddle River, NJ 07458,3.0,
119,"$500,000",436 Chestnut St,3.0,- sqft- House for sale, Ridgefield, NJ 07657,2.0,
120,"$1,320,000",318 Megan Ct,5.0,- sqft- House for sale, Wyckoff, NJ 07481,4.0,
121,"$660,000",287 Ackerman Ave,5.0, House for sale, Glen Rock Boro, NJ 07452-1322,3.0,1718.0
